Lowjee,00:34,,,,,,,,,,,,,,,
Dolavli,00:38,,,,,,,,,,,,,,,
Kelavli,00:41,,,,,,,,,,,,,,,
Palasdhari,00:48,,,,,,,,,,,,,,,
Karjat,00:55,02:30,,,,,,,,,,,03:35,,,
Bhivpuri road,,02:39,,,,,,,,,,,03:44,,,
Neral,,02:46,,,,,,,,,,,03:51,,,
Shelu,,02:50,,,,,,,,,,,03:55,,,
Vangani,,02:54,,,,,,,,,,,03:59,,,
Badlapur,,03:03,,,,,,,,,,,04:07,,,
Ambernath,,03:10,,,,,03:43,,,,04:08,,04:14,,,
Ulhas nagar,,03:14,,,,,03:48,,,,04:13,,04:18,,,
Vithalwadi,,03:17,,,,,03:51,,,,04:16,,04:21,,,
Kalyan,,03:23,,,,,03:57,,04:12,,04:21,,04:27,04:39,04:48,
Thakurli,,03:30,,,,,04:02,,04:18,,04:28,,04:34,04:45,04:53,
Dombivli,,03:34,,,,,04:05,,04:21,,04:31,,04:37,04:48,04:56,
Kopar,,03:38,,,,,04:08,,04:24,,04:34,,04:40,04:51,04:59,
Diwa,,03:42,,,,,04:13,,04:29,,04:39,,04:45,04:56,05:04,
Mumbra,,03:48,,,,,04:17,,04:33,,04:43,,04:49,05:00,05:08,
Kalva,,03:55,,,,,04:23,,04:39,,04:49,,04:55,05:06,05:14,
Thane,,04:00,04:04,,04:16,,04:28,04:40,04:44,04:48,04:54,05:08,05:00,05:11,05:19,
Mulund,,04:04,04:08,,04:20,,04:32,04:44,04:48,04:54,04:58,05:13,05:04,05:15,05:23,
Nahur,,04:07,04:11,,04:23,,04:35,04:47,04:51,04:57,05:01,...,05:07,05:18,05:26,
Bhandup,,04:10,04:14,,04:26,,04:38,04:50,04:54,05:00,05:04,...,05:10,05:21,05:29,
Kanjur marg,,04:13,04:17,,04:29,,04:41,04:53,04:57,05:03,05:07,...,05:13,05:24,05:32,
Vikhroli,,04:16,04:20,,04:32,,04:44,04:56,05:00,05:06,05:10,...,05:16,05:27,05:35,
Ghatkopar,,04:20,04:24,,04:36,,04:48,05:00,05:04,05:10,05:14,05:21,05:20,05:31,05:39,
Vidyavihar,,04:23,04:27,,04:39,,04:51,05:03,05:07,05:13,05:17,...,05:23,05:34,05:42,
Kurla,,04:26,04:30,04:38,04:42,04:46,04:54,05:06,05:10,05:16,05:20,05:25,05:26,05:37,05:45,
Sion,,04:30,04:34,04:42,04:46,04:50,04:58,05:10,05:14,05:20,05:24,...,05:30,05:41,05:49,
Matunga,,04:33,04:37,04:45,04:49,04:53,05:01,05:13,05:17,05:23,05:27,...,05:33,05:44,05:52,
Dadar,,04:37,04:41,04:49,04:53,04:57,05:05,05:17,05:21,05:27,05:31,05:33,05:37,05:48,05:56,
Parel,,04:40,04:44,04:52,04:56,05:00,05:08,05:20,05:24,05:30,05:34,…,05:40,05:51,05:59,
Currey road,,04:43,04:47,04:55,04:59,05:03,05:11,05:23,05:27,05:33,05:37,…,05:43,05:54,06:02,
Chinchpokli,,04:45,04:49,04:57,05:01,05:05,05:13,05:25,05:29,05:35,05:39,…,05:45,05:56,06:04,
Byculla,,04:47,04:51,04:59,05:03,05:07,05:15,05:27,05:31,05:37,05:41,05:40,05:47,05:58,06:06,
Sandhurst road,,04:50,04:54,05:02,05:06,05:10,05:18,05:30,05:34,05:40,05:44,…,05:50,06:01,06:09,
Masjid,,04:53,04:57,05:05,05:09,05:13,05:21,05:33,05:37,05:43,05:47,…,05:53,06:04,06:12,
CSMT,,04:56,05:00,05:08,05:12,05:16,05:24,05:36,05:40,05:46,05:50,05:52,05:56,06:07,06:15,
,SKP 2,S 2,T 2,C 2,T 4,C 4,A 2,T 6,TL 2,T 8,A 4,T 10,S 4,K 2,TL 4,T 12
,,,,,,AC,,,,,,,,,,AC
,,,,X,,,,,,,,,,,,X
Kasara,,,,,,,,,,,,,,,,
Umbermali,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,,,
Titwala,,,,,,,,,3:56,,,,,,4:32,
Ambivli,,,,,,,,,4:02,,,,,,4:38,
Shahad,,,,,,,,,4:06,,,,,,4:42,
Khopoli,00:30,,,,,,,,,,,,,,,
Lowjee,00:34,,,,,,,,,,,,,,,
Dolavli,00:38,,,,,,,,,,,,,,,
Kelavli,00:41,,,,,,,,,,,,,,,
Palasdhari,00:48,,,,,,,,,,,,,,,
Karjat,00:55,02:30,,,,,,,,,,,03:35,,,
Bhivpuri road,,02:39,,,,,,,,,,,03:44,,,
Neral,,02:46,,,,,,,,,,,03:51,,,
Shelu,,02:50,,,,,,,,,,,03:55,,,
Vangani,,02:54,,,,,,,,,,,03:59,,,
Badlapur,,03:03,,,,,,,,,,,04:07,,,
Ambernath,,03:10,,,,,03:43,,,,04:08,,04:14,,,
Ulhas nagar,,03:14,,,,,03:48,,,,04:13,,04:18,,,
Vithalwadi,,03:17,,,,,03:51,,,,04:16,,04:21,,,
Kalyan,,03:23,,,,,03:57,,04:12,,04:21,,04:27,04:39,04:48,
Thakurli,,03:30,,,,,04:02,,04:18,,04:28,,04:34,04:45,04:53,
Dombivli,,03:34,,,,,04:05,,04:21,,04:31,,04:37,04:48,04:56,
Kopar,,03:38,,,,,04:08,,04:24,,04:34,,04:40,04:51,04:59,
Diwa,,03:42,,,,,04:13,,04:29,,04:39,,04:45,04:56,05:04,
Mumbra,,03:48,,,,,04:17,,04:33,,04:43,,04:49,05:00,05:08,
Kalva,,03:55,,,,,04:23,,04:39,,04:49,,04:55,05:06,05:14,
Thane,,04:00,04:04,,04:16,,04:28,04:40,04:44,04:48,04:54,05:08,05:00,05:11,05:19,05:24
Mulund,,04:04,04:08,,04:20,,04:32,04:44,04:48,04:54,04:58,05:13,05:04,05:15,05:23,05:28
Nahur,,04:07,04:11,,04:23,,04:35,04:47,04:51,04:57,05:01,...,05:07,05:18,05:26,05:31
Bhandup,,04:10,04:14,,04:26,,04:38,04:50,04:54,05:00,05:04,...,05:10,05:21,05:29,05:34
Kanjur marg,,04:13,04:17,,04:29,,04:41,04:53,04:57,05:03,05:07,...,05:13,05:24,05:32,05:37
Vikhroli,,04:16,04:20,,04:32,,04:44,04:56,05:00,05:06,05:10,...,05:16,05:27,05:35,05:40
Ghatkopar,,04:20,04:24,,04:36,,04:48,05:00,05:04,05:10,05:14,05:21,05:20,05:31,05:39,05:44
Vidyavihar,,04:23,04:27,,04:39,,04:51,05:03,05:07,05:13,05:17,...,05:23,05:34,05:42,05:47
