0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
W.E.F.  19.02.2026,,,,,,,,,,,,,,
STATIONS,DRD,BVI,VR,VR,VR,VR,DRD,VR,BYR,VR,VR,VR,BSR,
DN TRAINS,93001,90001,92001,92003,90003,92005,93003,90007,90007A,94001,90009,90011,90013,
,12 CAR,12 CAR,15 CAR,15 CAR,12 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,
CHURCHGATE,,,,,,,,,,,,04:15,,
Marine Lines,,,,,,,,,,,,04:18,,
Charni Road,,,,,,,,,,,,04:20,,
Grant Road,,,,,,,,,,,,04:23,,
M'BAI CENTRAL (L),,,,,,,,,,,,04:25,,
Mahalakshmi,,,NOT ON,,,,,,,Air,,04:28,,
Lower Parel,,,SUN,,,,,,,Condition,,04:31,,
Prabhadevi,,,ONLY,,,,,,,,,04:34,,
DADAR,,,,,,,,,,,,04:36,,
Matunga Road,,,,,,,,,,,,04:38,,
Mahim Jn.,,,,,,,,,,,,04:41,,
BANDRA,,04:05,,,,,,,04:30,,,04:45,,
Khar Road,,04:09,,,,,,,04:34,,,04:48,,
Santa Cruz,,04:12,,,,,,,04:37,,,04:50,,
Vile Parle,,04:15,,,,,,,04:40,,,04:53,,
ANDHERI,,04:20,,04:25,,04:40,,,04:45,,,04:58,,
Jogeshwari,,04:23,,04:29,,04:44,,,04:48,,,05:01,,
Ram Mandir,,04:26,,04:32,,04:47,,,,,,,,
Goregaon,,04:28,,04:34,,04:49,,,04:53,,,05:06,,
Malad,,04:32,,04:38,,04:53,,,04:58,,,05:10,,
Kandivli,,04:35,,04:41,,04:56,,,05:01,,,05:13,,
BORIVALI,,04:42,04:40,04:46,,05:01,,04:56,05:06,05:07,,05:20,05:21,
Dahisar,,,04:45,04:50,,05:05,,05:00,05:11,05:11,,05:24,05:25,
Mira Road,,,04:49,04:55,,05:10,,05:05,05:16,05:16,,05:29,05:30,
Bhayandar,,,04:54,05:00,05:08,05:15,,05:10,05:21,05:21,05:25,05:34,05:35,
Naigaon,,,04:59,05:06,05:14,05:21,,05:16,,05:27,05:31,05:40,05:41,
Vasai Road,,,05:04,05:11,05:19,05:26,,05:21,,05:32,05:36,05:45,05:48,
Nalla Sopara,,,05:09,05:16,05:24,05:31,,05:26,,05:37,05:41,05:50,,
VIRAR,04:50,,05:15,05:23,05:31,05:38,05:35,05:39,,05:45,05:48,05:58,,
W.E.F.  19.02.2026,,,,,,,,,,,,,,
STATIONS,BVI,BVI,BVI,VR,VR,BVI,BVI,BVI,VR,DRD,BVI,VR,VR,
DN TRAINS,90015,90017,90019,90021,92007,90025,90027,90029,92009,93005,90031,90033,90035,
,12 CAR,12 CAR,12 CAR,12 CAR,15 CAR,12 CAR,12 CAR,12 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,
CHURCHGATE,04:18,,04:38,04:40,,04:46,,04:55,,05:03,05:00,05:07,,
Marine Lines,04:21,,04:41,04:43,,04:49,,04:58,,05:06,05:03,05:10,,
Charni Road,04:23,,04:43,04:45,,04:51,,05:00,,05:09,05:05,05:12,,
Grant Road,04:26,,04:46,04:48,,04:54,,05:03,,05:11,05:08,05:15,,
M'BAI CENTRAL (L),04:28,,04:48,04:50,,04:56,,05:05,,05:13,05:10,05:17,,
Mahalakshmi,04:31,NOT ON,04:51,,,04:59,,05:08,,,05:13,,,
Lower Parel,04:34,SUN,04:54,,,05:02,,05:11,,,05:16,,,
Prabhadevi,04:37,ONLY,04:57,,,05:05,,05:14,,,05:19,,,
DADAR,04:39,,04:59,04:57,,05:07,,05:16,05:15,05:20,05:21,05:24,,
Matunga Road,04:41,,05:01,,,05:09,,05:18,,,05:23,,,
Mahim Jn.,04:44,,05:04,,,05:12,,05:21,,,05:26,,,
BANDRA,04:48,04:55,05:08,05:03,,05:16,05:20,05:25,05:22,05:27,05:30,05:30,,
Khar Road,04:51,04:58,05:11,,,05:19,05:23,05:28,,,05:33,,,
Santa Cruz,04:53,05:00,05:13,,,05:21,05:25,05:30,,,05:35,,,
Vile Parle,04:56,05:03,05:16,,,05:24,05:28,05:33,,,05:38,,,
ANDHERI,05:01,05:08,05:22,05:12,,05:28,05:33,05:37,05:32,05:36,05:43,05:40,,
Jogeshwari,05:04,05:12,05:25,,,05:31,05:36,05:40,,,05:46,,,
Ram Mandir,05:07,05:15,05:28,,,05:34,05:39,05:43,,,05:49,,,
Goregaon,05:09,05:17,05:30,,,05:36,05:41,05:45,,,05:51,,,
Malad,05:13,05:21,05:34,,,05:40,05:45,05:49,,,05:55,,,
Kandivli,05:16,05:24,05:37,,,05:43,05:48,05:52,,,05:58,,,
BORIVALI,05:22,05:30,05:44,05:26,,05:49,05:55,05:58,05:45,05:49,06:05,05:54,,
Dahisar,,,,05:30,,,,,05:50,,,05:58,,
Mira Road,,,,05:35,,,,,05:54,,,06:02,,
Bhayandar,,,,05:40,05:45,,,,05:59,05:58,,06:07,06:08,
Naigaon,,,,05:45,05:52,,,,06:04,,,06:12,06:15,
Vasai Road,,,,05:50,05:57,,,,06:09,06:05,,06:17,06:21,
Nalla Sopara,,,,05:55,06:02,,,,06:14,,,06:22,06:26,
VIRAR,,,,06:02,06:11,,,,06:20,06:15,,06:30,06:34,
W.E.F.  19.02.2026,,,,,,,,,,,,,,
STATIONS,BVI,BVI,VR,BSR,BVI,GMN,VR,VR,VR,BVI,BVI,VR,BSR,
DN TRAINS,90037,90039,90041,90043,90045,90047,90049,92011,92013,94003,90051,90053,90055,
,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,15 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,
CHURCHGATE,,,05:15,,05:15,05:19,05:23,,,,05:28,05:29,05:36,
Marine Lines,,,05:18,,05:18,05:22,05:26,,,Air,05:31,05:32,05:39,
Charni Road,,,05:20,,05:20,05:24,05:28,,,Condition,05:33,05:34,05:41,
Grant Road,,,05:23,,05:23,05:27,05:31,,,,05:36,05:37,05:44,
M'BAI CENTRAL (L),,,05:25,,05:25,05:29,05:33,,,,05:38,05:39,05:48,
Mahalakshmi,05:17,,,,05:28,05:31,,,,05:35,05:41,,,
Lower Parel,05:21,,,,05:31,05:34,,,,05:39,05:44,,,
Prabhadevi,05:24,,,,05:34,05:37,,,,05:42,05:47,,,
DADAR,05:26,,05:32,,05:36,05:39,05:40,,,05:45,05:49,05:46,05:57,
Matunga Road,05:28,,,,05:38,05:41,,,,05:47,05:52,,,
Mahim Jn.,05:31,,,,05:41,05:44,,,,05:50,05:55,,,
BANDRA,05:35,05:40,05:37,,05:45,05:48,05:45,,,05:54,05:59,05:51,06:02,
Khar Road,05:39,05:45,,,05:48,05:51,,,,05:57,06:02,,,
Santa Cruz,05:41,05:47,,,05:50,05:54,,,,05:59,06:04,,,
Vile Parle,05:44,05:50,,,05:53,05:57,,,,06:02,06:07,,,
ANDHERI,05:49,05:56,05:45,,05:58,06:02,05:54,,06:05,06:08,06:12,06:00,06:11,
Jogeshwari,05:52,05:59,,,06:01,06:05,,,06:09,06:12,06:15,,,
Ram Mandir,05:55,06:02,,,06:04,06:08,,,06:12,06:15,06:18,,,
Goregaon,05:57,06:04,,,06:06,06:13,,,06:14,06:17,06:20,,,
Malad,06:01,06:08,,,06:10,,,,06:18,06:21,06:24,,,
Kandivli,06:04,06:11,,,06:13,,,,06:21,06:24,06:27,,,
BORIVALI,06:11,06:17,05:58,06:03,06:19,,06:07,06:16,06:27,06:30,06:33,06:12,06:24,
Dahisar,,,06:02,06:09,NOT ON,,06:11,06:21,06:32,,,06:17,06:29,
Mira Road,,,06:07,06:13,SUN,,06:16,06:26,06:37,,,06:22,06:33,
Bhayandar,,,06:12,06:18,ONLY,,06:21,06:31,06:42,,,06:27,06:38,
Naigaon,,,06:18,06:24,,,06:26,06:37,06:48,,,06:33,06:43,
Vasai Road,,,06:23,06:31,,,06:31,06:42,06:53,,,06:38,06:50,
Nalla Sopara,,,06:28,,,,06:36,06:47,06:58,,,06:43,,
VIRAR,,,06:38,,,,06:43,06:56,07:05,,,06:53,,
STATIONS,BVI,VR,BVI,BVI,BVI,DRD,VR,BVI,BVI,VR,BSR,BVI,BVI,
DN TRAINS,90057,92015,90059,94005,90061,93007,90067,90069,90071,90073,92017,90077,90079,
,12 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,15 CAR,12 CAR,12 CAR,
CHURCHGATE,,,05:36,05:40,,05:52,,,05:56,06:00,,05:59,06:03,
Marine Lines,,,05:39,05:43,,05:55,,,05:59,06:03,,06:02,06:06,
Charni Road,,,05:41,05:45,,05:58,,,06:01,06:05,,06:04,06:08,
Grant Road,,,05:44,05:48,,06:01,,,06:04,06:08,,06:07,06:11,
M'BAI CENTRAL (L),,,05:46,05:50,,06:05,,,06:06,06:10,,06:09,06:13,
Mahalakshmi,05:45,,05:49,05:53,,,,06:03,06:09,,,06:12,06:16,
Lower Parel,05:48,,05:52,05:56,,,,06:06,06:12,,,06:15,06:19,
Prabhadevi,05:51,,05:55,05:59,,,,06:09,06:15,,,06:18,06:22,
DADAR,05:53,,05:57,06:01,,06:13,,06:11,06:17,06:17,,06:20,06:24,
Matunga Road,05:55,,05:59,06:03,,,,06:13,06:19,,,06:22,06:26,
Mahim Jn.,05:58,,06:02,06:06,,,,06:16,06:22,,,06:25,06:29,
BANDRA,06:02,,06:06,06:11,06:15,06:18,,06:20,06:26,06:22,,06:29,06:33,
Khar Road,06:05,,06:09,06:14,06:18,,,06:23,06:29,,,06:32,06:36,
Santa Cruz,06:07,,06:11,06:16,06:20,,,06:25,06:31,,,06:34,06:38,
Vile Parle,06:10,,06:14,06:19,06:23,,,06:28,06:34,,,06:37,06:41,
ANDHERI,06:15,,06:19,06:24,06:28,06:26,,06:33,06:39,06:30,,06:42,06:46,
Jogeshwari,06:18,,06:22,06:27,06:31,,,06:36,06:42,,,06:45,06:49,
Ram Mandir,06:21,,06:25,06:30,06:34,,,06:39,06:45,,,06:48,06:52,
Goregaon,06:23,,06:27,06:32,06:36,,,06:41,06:47,,,06:50,06:54,
Malad,06:27,,06:31,06:36,06:39,,,06:45,06:51,,,06:54,06:58,
Kandivli,06:30,,06:34,06:39,06:42,,,06:48,06:54,,,06:57,07:01,
BORIVALI,06:36,06:36,06:41,06:45,06:49,06:39,06:51,06:55,07:00,06:42,07:04,07:04,07:08,
Dahisar,,06:41,,,,,06:54,,,06:47,,,NOT ON,
Mira Road,,06:46,,ON SAT,,,06:59,,,06:52,,,SUN,
Bhayandar,,06:50,,& SUN,,06:47,07:04,,,06:57,,,ONLY,
Naigaon,,06:56,,NON AC,,,07:10,,,07:02,,,,
Vasai Road,,07:01,,,,06:54,07:15,,,07:08,07:25,,,
Nalla Sopara,,07:06,,Air,,,07:20,,,07:13,,,,
VIRAR,,07:13,,Condition,,07:04,07:27,,,07:22,,,,
W.E.F.  19.02.2026,,,,,,,,,,,,,,
STATIONS,BVI,VR,BVI,BVI,BVI,DRD,VR,BVI,BVI,VR,BSR,BVI,BVI,
DN TRAINS,90057,92015,90059,94005,90061,93007,90067,90069,90071,90073,92017,90077,90079,
,12 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,15 CAR,12 CAR,12 CAR,
CHURCHGATE,,,05:36,05:40,,05:52,,,05:56,06:00,,05:59,06:03,
Marine Lines,,,05:39,05:43,,05:55,,,05:59,06:03,,06:02,06:06,
Charni Road,,,05:41,05:45,,05:58,,,06:01,06:05,,06:04,06:08,
Grant Road,,,05:44,05:48,,06:01,,,06:04,06:08,,06:07,06:11,
M'BAI CENTRAL (L),,,05:46,05:50,,06:05,,,06:06,06:10,,06:09,06:13,
Mahalakshmi,05:45,,05:49,05:53,,,,06:03,06:09,,,06:12,06:16,
Lower Parel,05:48,,05:52,05:56,,,,06:06,06:12,,,06:15,06:19,
Prabhadevi,05:51,,05:55,05:59,,,,06:09,06:15,,,06:18,06:22,
DADAR,05:53,,05:57,06:01,,06:13,,06:11,06:17,06:17,,06:20,06:24,
Matunga Road,05:55,,05:59,06:03,,,,06:13,06:19,,,06:22,06:26,
Mahim Jn.,05:58,,06:02,06:06,,,,06:16,06:22,,,06:25,06:29,
BANDRA,06:02,,06:06,06:11,06:15,06:18,,06:20,06:26,06:22,,06:29,06:33,
Khar Road,06:05,,06:09,06:14,06:18,,,06:23,06:29,,,06:32,06:36,
Santa Cruz,06:07,,06:11,06:16,06:20,,,06:25,06:31,,,06:34,06:38,
Vile Parle,06:10,,06:14,06:19,06:23,,,06:28,06:34,,,06:37,06:41,
ANDHERI,06:15,,06:19,06:24,06:28,06:26,,06:33,06:39,06:30,,06:42,06:46,
Jogeshwari,06:18,,06:22,06:27,06:31,,,06:36,06:42,,,06:45,06:49,
Ram Mandir,06:21,,06:25,06:30,06:34,,,06:39,06:45,,,06:48,06:52,
Goregaon,06:23,,06:27,06:32,06:36,,,06:41,06:47,,,06:50,06:54,
Malad,06:27,,06:31,06:36,06:39,,,06:45,06:51,,,06:54,06:58,
Kandivli,06:30,,06:34,06:39,06:42,,,06:48,06:54,,,06:57,07:01,
BORIVALI,06:36,06:36,06:41,06:45,06:49,06:39,06:51,06:55,07:00,06:42,07:04,07:04,07:08,
Dahisar,,06:41,,,,,06:54,,,06:47,,,NOT ON,
Mira Road,,06:46,,ON SAT,,,06:59,,,06:52,,,SUN,
Bhayandar,,06:50,,& SUN,,06:47,07:04,,,06:57,,,ONLY,
Naigaon,,06:56,,NON AC,,,07:10,,,07:02,,,,
Vasai Road,,07:01,,,,06:54,07:15,,,07:08,07:25,,,
Nalla Sopara,,07:06,,Air,,,07:20,,,07:13,,,,
VIRAR,,07:13,,Condition,,07:04,07:27,,,07:22,,,,
W.E.F.  19.02.2026,,,,,,,,,,,,,,
STATIONS,BYR,VR,VR,GMN,BVI,BVI,VR,BVI,VR,VR,VR,BVI,BVI,
DN TRAINS,92019,94007,90083,90085,90087,94111,90091,90093,92021,92023,92025,90097,94107,
,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,15 CAR,15 CAR,15 CAR,12 CAR,12 CAR,
CHURCHGATE,,,06:05,,06:11,06:14,06:15,06:17,06:25,,,06:21,,
Marine Lines,,,06:08,,06:14,06:17,06:18,06:20,,,,06:24,,
Charni Road,,,06:10,,06:16,06:19,06:20,06:22,,,,06:26,Air,
Grant Road,,,06:13,,06:19,06:22,06:23,06:25,,,,06:29,Condition,
M'BAI CENTRAL (L),,,06:15,,06:21,06:24,06:25,06:27,06:33,,,06:31,,
